n, n*n ,No. of comparisons, logn, nlogn
30,900,506,4.90689,147.207
60,3600,2448,5.90689,354.413
90,8100,6728,6.49185,584.267
120,14400,14272,6.90689,828.827
150,22500,25962,7.22882,1084.32
180,32400,42712,7.49185,1348.53
210,44100,65432,7.71425,1619.99
240,57600,95040,7.90689,1897.65
270,72900,132418,8.07682,2180.74
300,90000,178448,8.22882,2468.65
330,108900,234048,8.36632,2760.89
360,129600,300128,8.49185,3057.07
390,152100,377602,8.60733,3356.86
420,176400,467352,8.71425,3659.98
450,202500,570304,8.81378,3966.2
480,230400,687360,8.90689,4275.31
510,260100,1,8.99435,4587.12
540,291600,147927,9.07682,4901.48
570,324900,312617,9.15482,5218.25
600,360000,494977,9.22882,5537.29
630,396900,695927,9.29921,5858.5
660,435600,916357,9.36632,6181.77
690,476100,1157175,9.43045,6507.01
720,518400,1419295,9.49185,6834.13
750,562500,1703627,9.55075,7163.06
